S.No.,Basin Name,Station Index,Station Name,District,1hr,3hr,6hr,12hr,24hr,Status
131,Keshaliya,1320,Tarahara,Sunsari,0,0,0,0,0,BELOW WARNING LEVEL
132,Bagmati,107171,Tathali,Bhaktapur,0,0,0,0,0,BELOW WARNING LEVEL
133,Narayani,805,Syangja,Syangja,,,0,0,0,BELOW WARNING LEVEL
134,Koshi,1314,Terhathum,Terhathum,0,0,0,0,0,BELOW WARNING LEVEL
135,Bagmati,1080,Tikathali,Lalitpur,0,0,0,0,0,BELOW WARNING LEVEL
136,Tinau,717,Tilottama,Rupandehi,0,0,0,0.2,0.2,BELOW WARNING LEVEL
137,Koshi,1309,Tribeni (Dhankuta),Dhankuta,0,0,0,0,0,BELOW WARNING LEVEL
138,Rato,1110,Tulsi,Dhanusha,0,0,0,0,0,BELOW WARNING LEVEL
139,Koshi,1321,Tumlingtar,Sankhuwasabha,0,0,0,0.2,0.2,BELOW WARNING LEVEL
140,Kamala,1213,Udayapur Gadhi,Udayapur,0,0,0,0,0,BELOW WARNING LEVEL
141,Mohana,207,Tikapur,Kailali,0,0,0.2,0.2,0.2,BELOW WARNING LEVEL
142,,1035,Sankhu,Kathmandu,0,0,0,0,0,BELOW WARNING LEVEL
143,Koshi,1225,Syangboche Airport,Solukhumbu,,,,0,0,BELOW WARNING LEVEL
144,Karnali,406,Surkhet Airport (Birendranagar),Surkhet,0,0,0,0,0,BELOW WARNING LEVEL
145,Narayani,728,Semari,Nawalparasi East,0,0,0,0,0,BELOW WARNING LEVEL
146,Narayani,928,Shaktikhor,Chitwan,0,0,0,0,0,BELOW WARNING LEVEL
147,Narayani,930,Shilinge,Makwanpur,0,0,0,0,0,BELOW WARNING LEVEL
148,Narayani,824,Sikles,Kaski,0,0,0,0,0,BELOW WARNING LEVEL
149,West Rapti,419,Sikta,Banke,0,0,0,0.2,0.2,BELOW WARNING LEVEL
150,Bagmati,909,Simara Airport_AWS,Bara,0,0,0,0,0,BELOW WARNING LEVEL
151,West Rapti,530,Swargdwari,Pyuthan,0,0,0,0,0,BELOW WARNING LEVEL
152,Karnali,311,Simikot Airport,Humla,0,0,0,0,0,BELOW WARNING LEVEL
153,Kamala,,Siraha_Hydro,Siraha,0,0,0,0,0,BELOW WARNING LEVEL
154,Mechi,141501,"Sisne, Arjundhara",Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
155,Kankai,1411,Soktim Tea State,Illam,0,0,0,0,0,BELOW WARNING LEVEL
156,Bagmati,1077,Sundarijal,Kathmandu,0,0,0,0,0,BELOW WARNING LEVEL
157,Mahakali,10501,Sundarpur,Kanchanpur,0,0,0,0.2,0.2,BELOW WARNING LEVEL
158,Koshi,121201,Sundarpur,Udayapur,0,0,0,0,0,BELOW WARNING LEVEL
159,Koshi,110101,Singati,Dolakha,0,0,0,0,0,BELOW WARNING LEVEL
160,Bagmati,1006,Gumthang_AWS,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
161,Karnali,308,Nagma,Kalikot,0,0,0,0,0,BELOW WARNING LEVEL
162,Koshi,,Melamchi-Ghyang,Sindhupalchok,,0,0,0,0,BELOW WARNING LEVEL
163,Narayani,921,Kalaiya,Bara,0,0,0,0,0,BELOW WARNING LEVEL
164,Rato,121301,Kalapani,Mahottari,0,0,0,0,0,BELOW WARNING LEVEL
165,Balan-Khado,121501,"Kalyanpur, Saptari",Saptari,0,0,0,0,0,BELOW WARNING LEVEL
